Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.1
Vertical Position,-3.9
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.461734
-5.00990e-02,-0.464219
-5.00980e-02,-0.462344
-5.00970e-02,-0.463453
-5.00960e-02,-0.4625
-5.00950e-02,-0.463297
-5.00940e-02,-0.463875
-5.00930e-02,-0.463625
-5.00920e-02,-0.464656
-5.00910e-02,-0.463547
-5.00900e-02,-0.46325
-5.00890e-02,-0.463344
-5.00880e-02,-0.464078
-5.00870e-02,-0.462641
-5.00860e-02,-0.461688
-5.00850e-02,-0.462484
-5.00840e-02,-0.463953
-5.00830e-02,-0.462563
-5.00820e-02,-0.463563
-5.00810e-02,-0.462734
-5.00800e-02,-0.464813
-5.00790e-02,-0.463531
-5.00780e-02,-0.463578
-5.00770e-02,-0.464047
-5.00760e-02,-0.464703
-5.00750e-02,-0.464109
-5.00740e-02,-0.464109
-5.00730e-02,-0.464
-5.00720e-02,-0.462594
-5.00710e-02,-0.464609
-5.00700e-02,-0.462859
-5.00690e-02,-0.463141
-5.00680e-02,-0.462188
-5.00670e-02,-0.463484
-5.00660e-02,-0.462266
-5.00650e-02,-0.462859
-5.00640e-02,-0.462156
-5.00630e-02,-0.465109
-5.00620e-02,-0.463875
-5.00610e-02,-0.463094
-5.00600e-02,-0.464
-5.00590e-02,-0.462344
-5.00580e-02,-0.465297
-5.00570e-02,-0.463344
-5.00560e-02,-0.462891
-5.00550e-02,-0.4635
-5.00540e-02,-0.462797
-5.00530e-02,-0.464125
-5.00520e-02,-0.463953
-5.00510e-02,-0.463641
-5.00500e-02,-0.463734
-5.00490e-02,-0.464469
-5.00480e-02,-0.463031
-5.00470e-02,-0.465844
-5.00460e-02,-0.463281
-5.00450e-02,-0.464906
-5.00440e-02,-0.463094
-5.00430e-02,-0.462609
-5.00420e-02,-0.462891
-5.00410e-02,-0.463328
-5.00400e-02,-0.463172
-5.00390e-02,-0.465266
-5.00380e-02,-0.462047
-5.00370e-02,-0.460828
-5.00360e-02,-0.463734
-5.00350e-02,-0.4635
-5.00340e-02,-0.462578
-5.00330e-02,-0.464953
-5.00320e-02,-0.464641
-5.00310e-02,-0.465094
-5.00300e-02,-0.464625
-5.00290e-02,-0.463422
-5.00280e-02,-0.464484
-5.00270e-02,-0.463703
-5.00260e-02,-0.464938
-5.00250e-02,-0.462641
-5.00240e-02,-0.463797
-5.00230e-02,-0.463297
-5.00220e-02,-0.463469
-5.00210e-02,-0.464422
-5.00200e-02,-0.463516
-5.00190e-02,-0.462469
-5.00180e-02,-0.464469
-5.00170e-02,-0.462922
-5.00160e-02,-0.464641
-5.00150e-02,-0.463125
-5.00140e-02,-0.465375
-5.00130e-02,-0.463859
-5.00120e-02,-0.462719
-5.00110e-02,-0.463031
-5.00100e-02,-0.464719
-5.00090e-02,-0.4645
-5.00080e-02,-0.463172
-5.00070e-02,-0.464656
-5.00060e-02,-0.463875
-5.00050e-02,-0.463156
-5.00040e-02,-0.464578
-5.00030e-02,-0.463344
-5.00020e-02,-0.46425
-5.00010e-02,-0.463813
-5.00000e-02,-0.463578
-4.99990e-02,-0.464516
-4.99980e-02,-0.462156
-4.99970e-02,-0.462891
-4.99960e-02,-0.463828
-4.99950e-02,-0.462781
-4.99940e-02,-0.463359
-4.99930e-02,-0.464719
-4.99920e-02,-0.464359
-4.99910e-02,-0.463453
-4.99900e-02,-0.463625
-4.99890e-02,-0.463391
-4.99880e-02,-0.463953
-4.99870e-02,-0.465297
-4.99860e-02,-0.463734
-4.99850e-02,-0.463453
-4.99840e-02,-0.462563
-4.99830e-02,-0.463031
-4.99820e-02,-0.465578
-4.99810e-02,-0.462438
-4.99800e-02,-0.464047
-4.99790e-02,-0.464297
-4.99780e-02,-0.464641
-4.99770e-02,-0.464031
-4.99760e-02,-0.463859
-4.99750e-02,-0.4635
-4.99740e-02,-0.463828
-4.99730e-02,-0.463406
-4.99720e-02,-0.463875
-4.99710e-02,-0.463641
-4.99700e-02,-0.463156
-4.99690e-02,-0.463172
-4.99680e-02,-0.463484
-4.99670e-02,-0.464953
-4.99660e-02,-0.463422
-4.99650e-02,-0.465141
-4.99640e-02,-0.4655
-4.99630e-02,-0.462688
-4.99620e-02,-0.464359
-4.99610e-02,-0.463766
-4.99600e-02,-0.464125
-4.99590e-02,-0.464469
-4.99580e-02,-0.464172
-4.99570e-02,-0.464641
-4.99560e-02,-0.465844
-4.99550e-02,-0.465234
-4.99540e-02,-0.464828
-4.99530e-02,-0.464297
-4.99520e-02,-0.464125
-4.99510e-02,-0.463609
-4.99500e-02,-0.463563
-4.99490e-02,-0.464156
-4.99480e-02,-0.465203
-4.99470e-02,-0.464813
-4.99460e-02,-0.463672
-4.99450e-02,-0.463328
-4.99440e-02,-0.462359
-4.99430e-02,-0.464453
-4.99420e-02,-0.465031
-4.99410e-02,-0.464891
-4.99400e-02,-0.464453
-4.99390e-02,-0.464313
-4.99380e-02,-0.463563
-4.99370e-02,-0.463078
-4.99360e-02,-0.465141
-4.99350e-02,-0.464625
-4.99340e-02,-0.463656
-4.99330e-02,-0.462984
-4.99320e-02,-0.463828
-4.99310e-02,-0.464031
-4.99300e-02,-0.463969
-4.99290e-02,-0.464891
-4.99280e-02,-0.464453
-4.99270e-02,-0.463188
-4.99260e-02,-0.464031
-4.99250e-02,-0.464563
-4.99240e-02,-0.464156
-4.99230e-02,-0.465359
-4.99220e-02,-0.46325
-4.99210e-02,-0.465203
-4.99200e-02,-0.464453
-4.99190e-02,-0.464844
-4.99180e-02,-0.46275
-4.99170e-02,-0.464422
-4.99160e-02,-0.464172
-4.99150e-02,-0.463609
-4.99140e-02,-0.463813
-4.99130e-02,-0.464266
-4.99120e-02,-0.464641
-4.99110e-02,-0.463531
-4.99100e-02,-0.466547
-4.99090e-02,-0.464672
-4.99080e-02,-0.463563
-4.99070e-02,-0.464375
-4.99060e-02,-0.465656
-4.99050e-02,-0.466391
-4.99040e-02,-0.462641
-4.99030e-02,-0.465359
-4.99020e-02,-0.464438
-4.99010e-02,-0.464625
-4.99000e-02,-0.463578
-4.98990e-02,-0.463672
-4.98980e-02,-0.464922
-4.98970e-02,-0.464734
-4.98960e-02,-0.465703
-4.98950e-02,-0.465156
-4.98940e-02,-0.464594
-4.98930e-02,-0.464094
-4.98920e-02,-0.464891
-4.98910e-02,-0.463453
-4.98900e-02,-0.462719
-4.98890e-02,-0.464016
-4.98880e-02,-0.4635
-4.98870e-02,-0.464734
-4.98860e-02,-0.465734
-4.98850e-02,-0.464172
-4.98840e-02,-0.462375
-4.98830e-02,-0.46475
-4.98820e-02,-0.464516
-4.98810e-02,-0.464328
-4.98800e-02,-0.465109
-4.98790e-02,-0.464688
-4.98780e-02,-0.465141
-4.98770e-02,-0.464313
-4.98760e-02,-0.4645
-4.98750e-02,-0.465766
-4.98740e-02,-0.464063
-4.98730e-02,-0.463172
-4.98720e-02,-0.4645
-4.98710e-02,-0.464906
-4.98700e-02,-0.464328
-4.98690e-02,-0.4655
-4.98680e-02,-0.463375
-4.98670e-02,-0.463953
-4.98660e-02,-0.464219
-4.98650e-02,-0.464531
-4.98640e-02,-0.464203
-4.98630e-02,-0.465828
-4.98620e-02,-0.464828
-4.98610e-02,-0.466422
-4.98600e-02,-0.463219
-4.98590e-02,-0.464
-4.98580e-02,-0.463766
-4.98570e-02,-0.464938
-4.98560e-02,-0.464391
-4.98550e-02,-0.463438
-4.98540e-02,-0.465156
-4.98530e-02,-0.464719
-4.98520e-02,-0.46625
-4.98510e-02,-0.466172
-4.98500e-02,-0.464406
-4.98490e-02,-0.464078
-4.98480e-02,-0.465859
-4.98470e-02,-0.463719
-4.98460e-02,-0.465219
-4.98450e-02,-0.46425
-4.98440e-02,-0.464969
-4.98430e-02,-0.465406
-4.98420e-02,-0.464828
-4.98410e-02,-0.465516
-4.98400e-02,-0.463563
-4.98390e-02,-0.464609
-4.98380e-02,-0.465125
-4.98370e-02,-0.463578
-4.98360e-02,-0.464563
-4.98350e-02,-0.464688
-4.98340e-02,-0.464656
-4.98330e-02,-0.465141
-4.98320e-02,-0.464547
-4.98310e-02,-0.464688
-4.98300e-02,-0.463031
-4.98290e-02,-0.464719
-4.98280e-02,-0.465609
-4.98270e-02,-0.464641
-4.98260e-02,-0.465219
-4.98250e-02,-0.465109
-4.98240e-02,-0.463984
-4.98230e-02,-0.464953
-4.98220e-02,-0.464234
-4.98210e-02,-0.464172
-4.98200e-02,-0.463297
-4.98190e-02,-0.465188
-4.98180e-02,-0.464094
-4.98170e-02,-0.465688
-4.98160e-02,-0.463156
-4.98150e-02,-0.465297
-4.98140e-02,-0.465891
-4.98130e-02,-0.464813
-4.98120e-02,-0.463781
-4.98110e-02,-0.464203
-4.98100e-02,-0.465156
-4.98090e-02,-0.464172
-4.98080e-02,-0.465297
-4.98070e-02,-0.464531
-4.98060e-02,-0.463359
-4.98050e-02,-0.464172
-4.98040e-02,-0.465813
-4.98030e-02,-0.465531
-4.98020e-02,-0.465672
-4.98010e-02,-0.464984
-4.98000e-02,-0.46275
-4.97990e-02,-0.465547
-4.97980e-02,-0.466141
-4.97970e-02,-0.463375
-4.97960e-02,-0.464688
-4.97950e-02,-0.464188
-4.97940e-02,-0.463859
-4.97930e-02,-0.464297
-4.97920e-02,-0.464172
-4.97910e-02,-0.464641
-4.97900e-02,-0.463703
-4.97890e-02,-0.464438
-4.97880e-02,-0.463719
-4.97870e-02,-0.466578
-4.97860e-02,-0.465594
-4.97850e-02,-0.464422
-4.97840e-02,-0.465828
-4.97830e-02,-0.464641
-4.97820e-02,-0.464891
-4.97810e-02,-0.465547
-4.97800e-02,-0.464063
-4.97790e-02,-0.46275
-4.97780e-02,-0.464719
-4.97770e-02,-0.465969
-4.97760e-02,-0.464219
-4.97750e-02,-0.464703
-4.97740e-02,-0.464688
-4.97730e-02,-0.465344
-4.97720e-02,-0.464063
-4.97710e-02,-0.465609
-4.97700e-02,-0.465516
-4.97690e-02,-0.464719
-4.97680e-02,-0.467547
-4.97670e-02,-0.463969
-4.97660e-02,-0.46375
-4.97650e-02,-0.465391
-4.97640e-02,-0.465484
-4.97630e-02,-0.46325
-4.97620e-02,-0.464547
-4.97610e-02,-0.464984
-4.97600e-02,-0.464172
-4.97590e-02,-0.464984
-4.97580e-02,-0.465016
-4.97570e-02,-0.465219
-4.97560e-02,-0.463375
-4.97550e-02,-0.463797
-4.97540e-02,-0.465328
-4.97530e-02,-0.464406
-4.97520e-02,-0.465234
-4.97510e-02,-0.464203
-4.97500e-02,-0.46625
-4.97490e-02,-0.46475
-4.97480e-02,-0.465953
-4.97470e-02,-0.465109
-4.97460e-02,-0.465203
-4.97450e-02,-0.465688
-4.97440e-02,-0.463828
-4.97430e-02,-0.464969
-4.97420e-02,-0.464438
-4.97410e-02,-0.465844
-4.97400e-02,-0.46475
-4.97390e-02,-0.466344
-4.97380e-02,-0.464672
-4.97370e-02,-0.464063
-4.97360e-02,-0.46325
-4.97350e-02,-0.464531
-4.97340e-02,-0.46525
-4.97330e-02,-0.465109
-4.97320e-02,-0.465141
-4.97310e-02,-0.464219
-4.97300e-02,-0.466125
-4.97290e-02,-0.465281
-4.97280e-02,-0.463938
-4.97270e-02,-0.465563
-4.97260e-02,-0.463813
-4.97250e-02,-0.46525
-4.97240e-02,-0.465969
-4.97230e-02,-0.464359
-4.97220e-02,-0.464641
-4.97210e-02,-0.463906
-4.97200e-02,-0.465469
-4.97190e-02,-0.463641
-4.97180e-02,-0.464766
-4.97170e-02,-0.465688
-4.97160e-02,-0.464125
