Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.1
Vertical Position,-3.9
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.529875
-5.00990e-02,-0.528484
-5.00980e-02,-0.529078
-5.00970e-02,-0.528125
-5.00960e-02,-0.529516
-5.00950e-02,-0.529141
-5.00940e-02,-0.529516
-5.00930e-02,-0.528422
-5.00920e-02,-0.527469
-5.00910e-02,-0.527422
-5.00900e-02,-0.529313
-5.00890e-02,-0.529141
-5.00880e-02,-0.528625
-5.00870e-02,-0.527625
-5.00860e-02,-0.530734
-5.00850e-02,-0.528453
-5.00840e-02,-0.527469
-5.00830e-02,-0.529578
-5.00820e-02,-0.528141
-5.00810e-02,-0.529406
-5.00800e-02,-0.528844
-5.00790e-02,-0.526844
-5.00780e-02,-0.528672
-5.00770e-02,-0.529625
-5.00760e-02,-0.529125
-5.00750e-02,-0.529891
-5.00740e-02,-0.528141
-5.00730e-02,-0.529813
-5.00720e-02,-0.529453
-5.00710e-02,-0.529156
-5.00700e-02,-0.529797
-5.00690e-02,-0.529141
-5.00680e-02,-0.528438
-5.00670e-02,-0.52875
-5.00660e-02,-0.528219
-5.00650e-02,-0.529984
-5.00640e-02,-0.529875
-5.00630e-02,-0.529125
-5.00620e-02,-0.528563
-5.00610e-02,-0.529984
-5.00600e-02,-0.52875
-5.00590e-02,-0.527984
-5.00580e-02,-0.529594
-5.00570e-02,-0.530047
-5.00560e-02,-0.528281
-5.00550e-02,-0.527281
-5.00540e-02,-0.529875
-5.00530e-02,-0.527234
-5.00520e-02,-0.530188
-5.00510e-02,-0.528703
-5.00500e-02,-0.527406
-5.00490e-02,-0.528922
-5.00480e-02,-0.529594
-5.00470e-02,-0.528422
-5.00460e-02,-0.528578
-5.00450e-02,-0.529328
-5.00440e-02,-0.528281
-5.00430e-02,-0.527438
-5.00420e-02,-0.528859
-5.00410e-02,-0.528141
-5.00400e-02,-0.529094
-5.00390e-02,-0.530563
-5.00380e-02,-0.528375
-5.00370e-02,-0.527203
-5.00360e-02,-0.529688
-5.00350e-02,-0.530047
-5.00340e-02,-0.528344
-5.00330e-02,-0.5285
-5.00320e-02,-0.529344
-5.00310e-02,-0.528281
-5.00300e-02,-0.527906
-5.00290e-02,-0.528109
-5.00280e-02,-0.528688
-5.00270e-02,-0.528234
-5.00260e-02,-0.530781
-5.00250e-02,-0.528875
-5.00240e-02,-0.529984
-5.00230e-02,-0.52825
-5.00220e-02,-0.530703
-5.00210e-02,-0.528906
-5.00200e-02,-0.528375
-5.00190e-02,-0.5285
-5.00180e-02,-0.529984
-5.00170e-02,-0.528359
-5.00160e-02,-0.527953
-5.00150e-02,-0.529031
-5.00140e-02,-0.528844
-5.00130e-02,-0.528359
-5.00120e-02,-0.529125
-5.00110e-02,-0.529875
-5.00100e-02,-0.530219
-5.00090e-02,-0.528953
-5.00080e-02,-0.527984
-5.00070e-02,-0.528922
-5.00060e-02,-0.529688
-5.00050e-02,-0.528922
-5.00040e-02,-0.528984
-5.00030e-02,-0.528875
-5.00020e-02,-0.529297
-5.00010e-02,-0.53
-5.00000e-02,-0.528781
-4.99990e-02,-0.530406
-4.99980e-02,-0.529453
-4.99970e-02,-0.527938
-4.99960e-02,-0.527625
-4.99950e-02,-0.528938
-4.99940e-02,-0.529125
-4.99930e-02,-0.528125
-4.99920e-02,-0.530984
-4.99910e-02,-0.529625
-4.99900e-02,-0.528625
-4.99890e-02,-0.530203
-4.99880e-02,-0.530063
-4.99870e-02,-0.528703
-4.99860e-02,-0.529234
-4.99850e-02,-0.529047
-4.99840e-02,-0.529156
-4.99830e-02,-0.529406
-4.99820e-02,-0.530453
-4.99810e-02,-0.529188
-4.99800e-02,-0.52975
-4.99790e-02,-0.531047
-4.99780e-02,-0.529781
-4.99770e-02,-0.530703
-4.99760e-02,-0.529047
-4.99750e-02,-0.528922
-4.99740e-02,-0.529656
-4.99730e-02,-0.526938
-4.99720e-02,-0.529453
-4.99710e-02,-0.529594
-4.99700e-02,-0.527781
-4.99690e-02,-0.528891
-4.99680e-02,-0.529219
-4.99670e-02,-0.527781
-4.99660e-02,-0.530844
-4.99650e-02,-0.528641
-4.99640e-02,-0.529922
-4.99630e-02,-0.528891
-4.99620e-02,-0.530203
-4.99610e-02,-0.527953
-4.99600e-02,-0.527844
-4.99590e-02,-0.528531
-4.99580e-02,-0.529531
-4.99570e-02,-0.529875
-4.99560e-02,-0.529578
-4.99550e-02,-0.529734
-4.99540e-02,-0.528266
-4.99530e-02,-0.528563
-4.99520e-02,-0.529031
-4.99510e-02,-0.530641
-4.99500e-02,-0.529641
-4.99490e-02,-0.529031
-4.99480e-02,-0.529984
-4.99470e-02,-0.528859
-4.99460e-02,-0.530391
-4.99450e-02,-0.528125
-4.99440e-02,-0.529219
-4.99430e-02,-0.530781
-4.99420e-02,-0.529094
-4.99410e-02,-0.529188
-4.99400e-02,-0.530047
-4.99390e-02,-0.528219
-4.99380e-02,-0.529531
-4.99370e-02,-0.530328
-4.99360e-02,-0.529656
-4.99350e-02,-0.528484
-4.99340e-02,-0.5315
-4.99330e-02,-0.529547
-4.99320e-02,-0.529453
-4.99310e-02,-0.529688
-4.99300e-02,-0.529422
-4.99290e-02,-0.531031
-4.99280e-02,-0.529
-4.99270e-02,-0.529672
-4.99260e-02,-0.531219
-4.99250e-02,-0.530422
-4.99240e-02,-0.530438
-4.99230e-02,-0.529844
-4.99220e-02,-0.529141
-4.99210e-02,-0.529547
-4.99200e-02,-0.529547
-4.99190e-02,-0.530438
-4.99180e-02,-0.529969
-4.99170e-02,-0.529781
-4.99160e-02,-0.529703
-4.99150e-02,-0.530578
-4.99140e-02,-0.528031
-4.99130e-02,-0.530391
-4.99120e-02,-0.530016
-4.99110e-02,-0.530406
-4.99100e-02,-0.529281
-4.99090e-02,-0.528969
-4.99080e-02,-0.530156
-4.99070e-02,-0.530391
-4.99060e-02,-0.530359
-4.99050e-02,-0.529688
-4.99040e-02,-0.527266
-4.99030e-02,-0.530281
-4.99020e-02,-0.529062
-4.99010e-02,-0.529688
-4.99000e-02,-0.530563
-4.98990e-02,-0.531266
-4.98980e-02,-0.529625
-4.98970e-02,-0.528641
-4.98960e-02,-0.529625
-4.98950e-02,-0.530906
-4.98940e-02,-0.529797
-4.98930e-02,-0.529125
-4.98920e-02,-0.528484
-4.98910e-02,-0.528234
-4.98900e-02,-0.530875
-4.98890e-02,-0.53
-4.98880e-02,-0.529125
-4.98870e-02,-0.530938
-4.98860e-02,-0.529859
-4.98850e-02,-0.531844
-4.98840e-02,-0.529453
-4.98830e-02,-0.530906
-4.98820e-02,-0.531172
-4.98810e-02,-0.528547
-4.98800e-02,-0.530266
-4.98790e-02,-0.530016
-4.98780e-02,-0.529609
-4.98770e-02,-0.528578
-4.98760e-02,-0.531203
-4.98750e-02,-0.529344
-4.98740e-02,-0.530984
-4.98730e-02,-0.529875
-4.98720e-02,-0.529109
-4.98710e-02,-0.531375
-4.98700e-02,-0.530516
-4.98690e-02,-0.530656
-4.98680e-02,-0.530313
-4.98670e-02,-0.528984
-4.98660e-02,-0.531
-4.98650e-02,-0.529531
-4.98640e-02,-0.530453
-4.98630e-02,-0.529656
-4.98620e-02,-0.531
-4.98610e-02,-0.530297
-4.98600e-02,-0.530219
-4.98590e-02,-0.530563
-4.98580e-02,-0.529625
-4.98570e-02,-0.528375
-4.98560e-02,-0.529813
-4.98550e-02,-0.531406
-4.98540e-02,-0.530422
-4.98530e-02,-0.529422
-4.98520e-02,-0.531266
-4.98510e-02,-0.529828
-4.98500e-02,-0.529172
-4.98490e-02,-0.527781
-4.98480e-02,-0.529328
-4.98470e-02,-0.530391
-4.98460e-02,-0.531844
-4.98450e-02,-0.531156
-4.98440e-02,-0.529438
-4.98430e-02,-0.528391
-4.98420e-02,-0.530766
-4.98410e-02,-0.528797
-4.98400e-02,-0.530688
-4.98390e-02,-0.52975
-4.98380e-02,-0.527484
-4.98370e-02,-0.530625
-4.98360e-02,-0.530703
-4.98350e-02,-0.530266
-4.98340e-02,-0.530297
-4.98330e-02,-0.529734
-4.98320e-02,-0.531094
-4.98310e-02,-0.531688
-4.98300e-02,-0.530813
-4.98290e-02,-0.530969
-4.98280e-02,-0.529234
-4.98270e-02,-0.530406
-4.98260e-02,-0.530625
-4.98250e-02,-0.532781
-4.98240e-02,-0.530328
-4.98230e-02,-0.529703
-4.98220e-02,-0.528922
-4.98210e-02,-0.531078
-4.98200e-02,-0.530766
-4.98190e-02,-0.530094
-4.98180e-02,-0.529922
-4.98170e-02,-0.530391
-4.98160e-02,-0.531188
-4.98150e-02,-0.530594
-4.98140e-02,-0.529688
-4.98130e-02,-0.529953
-4.98120e-02,-0.531516
-4.98110e-02,-0.528781
-4.98100e-02,-0.529719
-4.98090e-02,-0.530609
-4.98080e-02,-0.529813
-4.98070e-02,-0.530594
-4.98060e-02,-0.529953
-4.98050e-02,-0.528906
-4.98040e-02,-0.529172
-4.98030e-02,-0.528969
-4.98020e-02,-0.530063
-4.98010e-02,-0.531156
-4.98000e-02,-0.531266
-4.97990e-02,-0.530328
-4.97980e-02,-0.530078
-4.97970e-02,-0.5305
-4.97960e-02,-0.530609
-4.97950e-02,-0.531328
-4.97940e-02,-0.529578
-4.97930e-02,-0.530266
-4.97920e-02,-0.531703
-4.97910e-02,-0.530281
-4.97900e-02,-0.531328
-4.97890e-02,-0.529875
-4.97880e-02,-0.531828
-4.97870e-02,-0.531156
-4.97860e-02,-0.531047
-4.97850e-02,-0.53125
-4.97840e-02,-0.529
-4.97830e-02,-0.530844
-4.97820e-02,-0.52975
-4.97810e-02,-0.529563
-4.97800e-02,-0.531094
-4.97790e-02,-0.531172
-4.97780e-02,-0.529484
-4.97770e-02,-0.531031
-4.97760e-02,-0.529703
-4.97750e-02,-0.529141
-4.97740e-02,-0.530813
-4.97730e-02,-0.529984
-4.97720e-02,-0.532172
-4.97710e-02,-0.531109
-4.97700e-02,-0.5315
-4.97690e-02,-0.530172
-4.97680e-02,-0.530688
-4.97670e-02,-0.529828
-4.97660e-02,-0.531469
-4.97650e-02,-0.532531
-4.97640e-02,-0.531
-4.97630e-02,-0.530031
-4.97620e-02,-0.530563
-4.97610e-02,-0.53025
-4.97600e-02,-0.530203
-4.97590e-02,-0.531484
-4.97580e-02,-0.529094
-4.97570e-02,-0.529938
-4.97560e-02,-0.531703
-4.97550e-02,-0.530219
-4.97540e-02,-0.530938
-4.97530e-02,-0.529422
-4.97520e-02,-0.529656
-4.97510e-02,-0.531406
-4.97500e-02,-0.530203
-4.97490e-02,-0.531078
-4.97480e-02,-0.531359
-4.97470e-02,-0.531484
-4.97460e-02,-0.530313
-4.97450e-02,-0.530859
-4.97440e-02,-0.530266
-4.97430e-02,-0.531703
-4.97420e-02,-0.529516
-4.97410e-02,-0.530906
-4.97400e-02,-0.530016
-4.97390e-02,-0.531406
-4.97380e-02,-0.531734
-4.97370e-02,-0.529188
-4.97360e-02,-0.530672
-4.97350e-02,-0.529609
-4.97340e-02,-0.530922
-4.97330e-02,-0.531047
-4.97320e-02,-0.530859
-4.97310e-02,-0.532578
-4.97300e-02,-0.531547
-4.97290e-02,-0.530984
-4.97280e-02,-0.529031
-4.97270e-02,-0.531469
-4.97260e-02,-0.530625
-4.97250e-02,-0.532141
-4.97240e-02,-0.531859
-4.97230e-02,-0.532797
-4.97220e-02,-0.529781
-4.97210e-02,-0.5295
-4.97200e-02,-0.531969
-4.97190e-02,-0.530484
-4.97180e-02,-0.530703
-4.97170e-02,-0.531375
-4.97160e-02,-0.529984
