Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,-3.02
,
,
,
Label,
TIME,CH3
-5.01000e-02,-0.0427969
-5.00990e-02,-0.0467969
-5.00980e-02,-0.0485156
-5.00970e-02,-0.0489531
-5.00960e-02,-0.0513125
-5.00950e-02,-0.0547031
-5.00940e-02,-0.0578281
-5.00930e-02,-0.0589062
-5.00920e-02,-0.0626094
-5.00910e-02,-0.0638438
-5.00900e-02,-0.0683281
-5.00890e-02,-0.0682969
-5.00880e-02,-0.0697969
-5.00870e-02,-0.0729531
-5.00860e-02,-0.0727656
-5.00850e-02,-0.0757188
-5.00840e-02,-0.0790938
-5.00830e-02,-0.0789063
-5.00820e-02,-0.0809688
-5.00810e-02,-0.0834844
-5.00800e-02,-0.0868906
-5.00790e-02,-0.0845156
-5.00780e-02,-0.08925
-5.00770e-02,-0.0900625
-5.00760e-02,-0.0916094
-5.00750e-02,-0.0922969
-5.00740e-02,-0.0923281
-5.00730e-02,-0.0945
-5.00720e-02,-0.096625
-5.00710e-02,-0.0971719
-5.00700e-02,-0.0995156
-5.00690e-02,-0.100109
-5.00680e-02,-0.102
-5.00670e-02,-0.103547
-5.00660e-02,-0.106281
-5.00650e-02,-0.104047
-5.00640e-02,-0.105672
-5.00630e-02,-0.107453
-5.00620e-02,-0.10825
-5.00610e-02,-0.108141
-5.00600e-02,-0.110219
-5.00590e-02,-0.110953
-5.00580e-02,-0.111438
-5.00570e-02,-0.112391
-5.00560e-02,-0.113453
-5.00550e-02,-0.111594
-5.00540e-02,-0.114563
-5.00530e-02,-0.115625
-5.00520e-02,-0.116687
-5.00510e-02,-0.118094
-5.00500e-02,-0.116016
-5.00490e-02,-0.116469
-5.00480e-02,-0.117266
-5.00470e-02,-0.118484
-5.00460e-02,-0.117531
-5.00450e-02,-0.119594
-5.00440e-02,-0.119656
-5.00430e-02,-0.118922
-5.00420e-02,-0.118641
-5.00410e-02,-0.119797
-5.00400e-02,-0.123219
-5.00390e-02,-0.122953
-5.00380e-02,-0.120625
-5.00370e-02,-0.121234
-5.00360e-02,-0.122844
-5.00350e-02,-0.122047
-5.00340e-02,-0.123156
-5.00330e-02,-0.124938
-5.00320e-02,-0.124766
-5.00310e-02,-0.122703
-5.00300e-02,-0.124
-5.00290e-02,-0.120734
-5.00280e-02,-0.122859
-5.00270e-02,-0.123703
-5.00260e-02,-0.122063
-5.00250e-02,-0.123969
-5.00240e-02,-0.122328
-5.00230e-02,-0.122891
-5.00220e-02,-0.1245
-5.00210e-02,-0.121875
-5.00200e-02,-0.12325
-5.00190e-02,-0.120453
-5.00180e-02,-0.120906
-5.00170e-02,-0.123625
-5.00160e-02,-0.122203
-5.00150e-02,-0.119953
-5.00140e-02,-0.119688
-5.00130e-02,-0.120078
-5.00120e-02,-0.120797
-5.00110e-02,-0.118344
-5.00100e-02,-0.117344
-5.00090e-02,-0.118922
-5.00080e-02,-0.118109
-5.00070e-02,-0.117531
-5.00060e-02,-0.116609
-5.00050e-02,-0.113484
-5.00040e-02,-0.112172
-5.00030e-02,-0.112266
-5.00020e-02,-0.1155
-5.00010e-02,-0.111719
-5.00000e-02,-0.111875
-4.99990e-02,-0.111203
-4.99980e-02,-0.108828
-4.99970e-02,-0.107625
-4.99960e-02,-0.10425
-4.99950e-02,-0.105172
-4.99940e-02,-0.103828
-4.99930e-02,-0.102172
-4.99920e-02,-0.099
-4.99910e-02,-0.09975
-4.99900e-02,-0.0976406
-4.99890e-02,-0.0942656
-4.99880e-02,-0.0932813
-4.99870e-02,-0.0914844
-4.99860e-02,-0.0864219
-4.99850e-02,-0.0872656
-4.99840e-02,-0.0826563
-4.99830e-02,-0.0795938
-4.99820e-02,-0.07825
-4.99810e-02,-0.073375
-4.99800e-02,-0.0717656
-4.99790e-02,-0.0683906
-4.99780e-02,-0.0645313
-4.99770e-02,-0.062125
-4.99760e-02,-0.0604062
-4.99750e-02,-0.0533438
-4.99740e-02,-0.0536875
-4.99730e-02,-0.0479688
-4.99720e-02,-0.0446094
-4.99710e-02,-0.0409063
-4.99700e-02,-0.036125
-4.99690e-02,-0.032125
-4.99680e-02,-0.0270781
-4.99670e-02,-0.0236875
-4.99660e-02,-0.0187656
-4.99650e-02,-0.0161563
-4.99640e-02,-0.0110312
-4.99630e-02,-0.0080625
-4.99620e-02,-0.00275
-4.99610e-02,0.00146875
-4.99600e-02,0.00657812
-4.99590e-02,0.0131719
-4.99580e-02,0.0166406
-4.99570e-02,0.0218125
-4.99560e-02,0.0261406
-4.99550e-02,0.0322812
-4.99540e-02,0.0357812
-4.99530e-02,0.0403906
-4.99520e-02,0.0474219
-4.99510e-02,0.0478125
-4.99500e-02,0.0561875
-4.99490e-02,0.0605937
-4.99480e-02,0.0655625
-4.99470e-02,0.0686406
-4.99460e-02,0.0742187
-4.99450e-02,0.078625
-4.99440e-02,0.0833281
-4.99430e-02,0.0855625
-4.99420e-02,0.0906719
-4.99410e-02,0.09425
-4.99400e-02,0.0994375
-4.99390e-02,0.102344
-4.99380e-02,0.106062
-4.99370e-02,0.109156
-4.99360e-02,0.114109
-4.99350e-02,0.115844
-4.99340e-02,0.121328
-4.99330e-02,0.123203
-4.99320e-02,0.126984
-4.99310e-02,0.129031
-4.99300e-02,0.128016
-4.99290e-02,0.133422
-4.99280e-02,0.136219
-4.99270e-02,0.13825
-4.99260e-02,0.140484
-4.99250e-02,0.138125
-4.99240e-02,0.141266
-4.99230e-02,0.142969
-4.99220e-02,0.146203
-4.99210e-02,0.148328
-4.99200e-02,0.148516
-4.99190e-02,0.149016
-4.99180e-02,0.149625
-4.99170e-02,0.148453
-4.99160e-02,0.150125
-4.99150e-02,0.148656
-4.99140e-02,0.149922
-4.99130e-02,0.149594
-4.99120e-02,0.14725
-4.99110e-02,0.149281
-4.99100e-02,0.151016
-4.99090e-02,0.152281
-4.99080e-02,0.148031
-4.99070e-02,0.146469
-4.99060e-02,0.146641
-4.99050e-02,0.145109
-4.99040e-02,0.146328
-4.99030e-02,0.142937
-4.99020e-02,0.143703
-4.99010e-02,0.140547
-4.99000e-02,0.138969
-4.98990e-02,0.135891
-4.98980e-02,0.136875
-4.98970e-02,0.134594
-4.98960e-02,0.134859
-4.98950e-02,0.128375
-4.98940e-02,0.129984
-4.98930e-02,0.125469
-4.98920e-02,0.124281
-4.98910e-02,0.123016
-4.98900e-02,0.120344
-4.98890e-02,0.119312
-4.98880e-02,0.116172
-4.98870e-02,0.112219
-4.98860e-02,0.111172
-4.98850e-02,0.109328
-4.98840e-02,0.106547
-4.98830e-02,0.103094
-4.98820e-02,0.100766
-4.98810e-02,0.0960937
-4.98800e-02,0.0942031
-4.98790e-02,0.0895
-4.98780e-02,0.0885469
-4.98770e-02,0.0847344
-4.98760e-02,0.08325
-4.98750e-02,0.0788594
-4.98740e-02,0.0720937
-4.98730e-02,0.0730156
-4.98720e-02,0.0704531
-4.98710e-02,0.0666875
-4.98700e-02,0.0624531
-4.98690e-02,0.0609219
-4.98680e-02,0.0547812
-4.98670e-02,0.0536094
-4.98660e-02,0.0498125
-4.98650e-02,0.0439219
-4.98640e-02,0.0443594
-4.98630e-02,0.0376719
-4.98620e-02,0.0349531
-4.98610e-02,0.0338438
-4.98600e-02,0.0274219
-4.98590e-02,0.0266719
-4.98580e-02,0.020625
-4.98570e-02,0.0184062
-4.98560e-02,0.0149375
-4.98550e-02,0.00748437
-4.98540e-02,0.00801562
-4.98530e-02,0.00345313
-4.98520e-02,0.000296875
-4.98510e-02,-0.0033125
-4.98500e-02,-0.00621875
-4.98490e-02,-0.0106563
-4.98480e-02,-0.0130156
-4.98470e-02,-0.0174063
-4.98460e-02,-0.0181406
-4.98450e-02,-0.0222813
-4.98440e-02,-0.026
-4.98430e-02,-0.0293594
-4.98420e-02,-0.0331562
-4.98410e-02,-0.0337031
-4.98400e-02,-0.0357188
-4.98390e-02,-0.0405156
-4.98380e-02,-0.0429219
-4.98370e-02,-0.0457812
-4.98360e-02,-0.0489688
-4.98350e-02,-0.051125
-4.98340e-02,-0.0525937
-4.98330e-02,-0.0556875
-4.98320e-02,-0.0573438
-4.98310e-02,-0.0595
-4.98300e-02,-0.0634531
-4.98290e-02,-0.0628281
-4.98280e-02,-0.066625
-4.98270e-02,-0.0695156
-4.98260e-02,-0.070125
-4.98250e-02,-0.0744844
-4.98240e-02,-0.0742188
-4.98230e-02,-0.0789375
-4.98220e-02,-0.0775938
-4.98210e-02,-0.0799063
-4.98200e-02,-0.08275
-4.98190e-02,-0.0851875
-4.98180e-02,-0.0861094
-4.98170e-02,-0.0864844
-4.98160e-02,-0.0888906
-4.98150e-02,-0.0905156
-4.98140e-02,-0.0925156
-4.98130e-02,-0.09175
-4.98120e-02,-0.0946406
-4.98110e-02,-0.0949063
-4.98100e-02,-0.0988906
-4.98090e-02,-0.0990781
-4.98080e-02,-0.0999531
-4.98070e-02,-0.100219
-4.98060e-02,-0.102078
-4.98050e-02,-0.103016
-4.98040e-02,-0.103703
-4.98030e-02,-0.106125
-4.98020e-02,-0.104609
-4.98010e-02,-0.107563
-4.98000e-02,-0.109422
-4.97990e-02,-0.107172
-4.97980e-02,-0.11075
-4.97970e-02,-0.113328
-4.97960e-02,-0.113641
-4.97950e-02,-0.115547
-4.97940e-02,-0.112641
-4.97930e-02,-0.113266
-4.97920e-02,-0.113797
-4.97910e-02,-0.11475
-4.97900e-02,-0.112828
-4.97890e-02,-0.116375
-4.97880e-02,-0.118141
-4.97870e-02,-0.118766
-4.97860e-02,-0.118484
-4.97850e-02,-0.119594
-4.97840e-02,-0.119938
-4.97830e-02,-0.118375
-4.97820e-02,-0.119672
-4.97810e-02,-0.121047
-4.97800e-02,-0.1205
-4.97790e-02,-0.120813
-4.97780e-02,-0.119063
-4.97770e-02,-0.123438
-4.97760e-02,-0.120594
-4.97750e-02,-0.121141
-4.97740e-02,-0.119594
-4.97730e-02,-0.118875
-4.97720e-02,-0.123219
-4.97710e-02,-0.122188
-4.97700e-02,-0.123484
-4.97690e-02,-0.122422
-4.97680e-02,-0.122797
-4.97670e-02,-0.121563
-4.97660e-02,-0.121297
-4.97650e-02,-0.125328
-4.97640e-02,-0.124891
-4.97630e-02,-0.123297
-4.97620e-02,-0.121969
-4.97610e-02,-0.124219
-4.97600e-02,-0.122828
-4.97590e-02,-0.122812
-4.97580e-02,-0.121797
-4.97570e-02,-0.122156
-4.97560e-02,-0.123078
-4.97550e-02,-0.122641
-4.97540e-02,-0.123234
-4.97530e-02,-0.122063
-4.97520e-02,-0.121172
-4.97510e-02,-0.121281
-4.97500e-02,-0.119125
-4.97490e-02,-0.119594
-4.97480e-02,-0.116313
-4.97470e-02,-0.121203
-4.97460e-02,-0.116047
-4.97450e-02,-0.116516
-4.97440e-02,-0.116734
-4.97430e-02,-0.114891
-4.97420e-02,-0.114984
-4.97410e-02,-0.111344
-4.97400e-02,-0.112219
-4.97390e-02,-0.110094
-4.97380e-02,-0.112234
-4.97370e-02,-0.109234
-4.97360e-02,-0.108297
-4.97350e-02,-0.106453
-4.97340e-02,-0.104391
-4.97330e-02,-0.106484
-4.97320e-02,-0.103234
-4.97310e-02,-0.100328
-4.97300e-02,-0.0993125
-4.97290e-02,-0.0986875
-4.97280e-02,-0.0958125
-4.97270e-02,-0.093875
-4.97260e-02,-0.0904375
-4.97250e-02,-0.0889375
-4.97240e-02,-0.0890938
-4.97230e-02,-0.0849063
-4.97220e-02,-0.08
-4.97210e-02,-0.0778594
-4.97200e-02,-0.076375
-4.97190e-02,-0.0727656
-4.97180e-02,-0.0700156
