Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.1
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.347406
-5.00990e-02,-0.346141
-5.00980e-02,-0.344891
-5.00970e-02,-0.347359
-5.00960e-02,-0.345469
-5.00950e-02,-0.345969
-5.00940e-02,-0.344766
-5.00930e-02,-0.344813
-5.00920e-02,-0.345
-5.00910e-02,-0.344828
-5.00900e-02,-0.346688
-5.00890e-02,-0.346609
-5.00880e-02,-0.345797
-5.00870e-02,-0.345156
-5.00860e-02,-0.346688
-5.00850e-02,-0.345297
-5.00840e-02,-0.345359
-5.00830e-02,-0.346938
-5.00820e-02,-0.345688
-5.00810e-02,-0.3455
-5.00800e-02,-0.346828
-5.00790e-02,-0.346156
-5.00780e-02,-0.345469
-5.00770e-02,-0.346375
-5.00760e-02,-0.346047
-5.00750e-02,-0.34725
-5.00740e-02,-0.346922
-5.00730e-02,-0.346203
-5.00720e-02,-0.345563
-5.00710e-02,-0.347313
-5.00700e-02,-0.346875
-5.00690e-02,-0.345969
-5.00680e-02,-0.346844
-5.00670e-02,-0.345219
-5.00660e-02,-0.346328
-5.00650e-02,-0.346547
-5.00640e-02,-0.344672
-5.00630e-02,-0.344641
-5.00620e-02,-0.346297
-5.00610e-02,-0.346641
-5.00600e-02,-0.3465
-5.00590e-02,-0.345609
-5.00580e-02,-0.346234
-5.00570e-02,-0.346969
-5.00560e-02,-0.347375
-5.00550e-02,-0.346391
-5.00540e-02,-0.345297
-5.00530e-02,-0.346359
-5.00520e-02,-0.345766
-5.00510e-02,-0.346297
-5.00500e-02,-0.345109
-5.00490e-02,-0.345375
-5.00480e-02,-0.345625
-5.00470e-02,-0.345156
-5.00460e-02,-0.347469
-5.00450e-02,-0.345875
-5.00440e-02,-0.346938
-5.00430e-02,-0.347609
-5.00420e-02,-0.345672
-5.00410e-02,-0.346125
-5.00400e-02,-0.348328
-5.00390e-02,-0.346078
-5.00380e-02,-0.347266
-5.00370e-02,-0.345313
-5.00360e-02,-0.346188
-5.00350e-02,-0.345031
-5.00340e-02,-0.345125
-5.00330e-02,-0.347234
-5.00320e-02,-0.346844
-5.00310e-02,-0.346391
-5.00300e-02,-0.345125
-5.00290e-02,-0.347141
-5.00280e-02,-0.346125
-5.00270e-02,-0.345203
-5.00260e-02,-0.345859
-5.00250e-02,-0.345391
-5.00240e-02,-0.346922
-5.00230e-02,-0.346781
-5.00220e-02,-0.346766
-5.00210e-02,-0.347453
-5.00200e-02,-0.346516
-5.00190e-02,-0.346688
-5.00180e-02,-0.347781
-5.00170e-02,-0.345938
-5.00160e-02,-0.347203
-5.00150e-02,-0.346422
-5.00140e-02,-0.347734
-5.00130e-02,-0.345625
-5.00120e-02,-0.345734
-5.00110e-02,-0.347125
-5.00100e-02,-0.347234
-5.00090e-02,-0.347219
-5.00080e-02,-0.345406
-5.00070e-02,-0.345406
-5.00060e-02,-0.345078
-5.00050e-02,-0.345797
-5.00040e-02,-0.3455
-5.00030e-02,-0.347406
-5.00020e-02,-0.345953
-5.00010e-02,-0.346172
-5.00000e-02,-0.347031
-4.99990e-02,-0.346781
-4.99980e-02,-0.344922
-4.99970e-02,-0.345828
-4.99960e-02,-0.3455
-4.99950e-02,-0.346
-4.99940e-02,-0.348281
-4.99930e-02,-0.346891
-4.99920e-02,-0.346531
-4.99910e-02,-0.347109
-4.99900e-02,-0.347813
-4.99890e-02,-0.347438
-4.99880e-02,-0.345625
-4.99870e-02,-0.347078
-4.99860e-02,-0.346625
-4.99850e-02,-0.346641
-4.99840e-02,-0.3455
-4.99830e-02,-0.345203
-4.99820e-02,-0.3475
-4.99810e-02,-0.345234
-4.99800e-02,-0.346656
-4.99790e-02,-0.345594
-4.99780e-02,-0.347984
-4.99770e-02,-0.346469
-4.99760e-02,-0.347469
-4.99750e-02,-0.348328
-4.99740e-02,-0.347969
-4.99730e-02,-0.348094
-4.99720e-02,-0.348563
-4.99710e-02,-0.346422
-4.99700e-02,-0.346906
-4.99690e-02,-0.348141
-4.99680e-02,-0.347656
-4.99670e-02,-0.345969
-4.99660e-02,-0.347609
-4.99650e-02,-0.348203
-4.99640e-02,-0.347297
-4.99630e-02,-0.346781
-4.99620e-02,-0.345063
-4.99610e-02,-0.347281
-4.99600e-02,-0.347125
-4.99590e-02,-0.347328
-4.99580e-02,-0.347703
-4.99570e-02,-0.346766
-4.99560e-02,-0.347297
-4.99550e-02,-0.346906
-4.99540e-02,-0.346938
-4.99530e-02,-0.344516
-4.99520e-02,-0.346641
-4.99510e-02,-0.346906
-4.99500e-02,-0.347875
-4.99490e-02,-0.346656
-4.99480e-02,-0.347344
-4.99470e-02,-0.347594
-4.99460e-02,-0.347969
-4.99450e-02,-0.348266
-4.99440e-02,-0.345766
-4.99430e-02,-0.347438
-4.99420e-02,-0.347078
-4.99410e-02,-0.345953
-4.99400e-02,-0.346734
-4.99390e-02,-0.346188
-4.99380e-02,-0.346516
-4.99370e-02,-0.348469
-4.99360e-02,-0.347984
-4.99350e-02,-0.347594
-4.99340e-02,-0.346266
-4.99330e-02,-0.347047
-4.99320e-02,-0.347672
-4.99310e-02,-0.346688
-4.99300e-02,-0.348531
-4.99290e-02,-0.346359
-4.99280e-02,-0.346125
-4.99270e-02,-0.346781
-4.99260e-02,-0.346797
-4.99250e-02,-0.346234
-4.99240e-02,-0.345563
-4.99230e-02,-0.347484
-4.99220e-02,-0.347438
-4.99210e-02,-0.346766
-4.99200e-02,-0.346016
-4.99190e-02,-0.347781
-4.99180e-02,-0.348641
-4.99170e-02,-0.346578
-4.99160e-02,-0.346578
-4.99150e-02,-0.347875
-4.99140e-02,-0.347328
-4.99130e-02,-0.346688
-4.99120e-02,-0.347609
-4.99110e-02,-0.347078
-4.99100e-02,-0.347625
-4.99090e-02,-0.347266
-4.99080e-02,-0.347516
-4.99070e-02,-0.345609
-4.99060e-02,-0.349438
-4.99050e-02,-0.346484
-4.99040e-02,-0.347359
-4.99030e-02,-0.348016
-4.99020e-02,-0.348438
-4.99010e-02,-0.348063
-4.99000e-02,-0.345797
-4.98990e-02,-0.347156
-4.98980e-02,-0.348469
-4.98970e-02,-0.346438
-4.98960e-02,-0.347734
-4.98950e-02,-0.348703
-4.98940e-02,-0.348156
-4.98930e-02,-0.347219
-4.98920e-02,-0.348563
-4.98910e-02,-0.348188
-4.98900e-02,-0.347141
-4.98890e-02,-0.347953
-4.98880e-02,-0.347453
-4.98870e-02,-0.346625
-4.98860e-02,-0.346766
-4.98850e-02,-0.347875
-4.98840e-02,-0.348469
-4.98830e-02,-0.347016
-4.98820e-02,-0.348203
-4.98810e-02,-0.347188
-4.98800e-02,-0.347891
-4.98790e-02,-0.347438
-4.98780e-02,-0.348469
-4.98770e-02,-0.35025
-4.98760e-02,-0.348047
-4.98750e-02,-0.3465
-4.98740e-02,-0.349875
-4.98730e-02,-0.347625
-4.98720e-02,-0.348328
-4.98710e-02,-0.34925
-4.98700e-02,-0.349922
-4.98690e-02,-0.347734
-4.98680e-02,-0.346516
-4.98670e-02,-0.347031
-4.98660e-02,-0.347047
-4.98650e-02,-0.347844
-4.98640e-02,-0.348578
-4.98630e-02,-0.348453
-4.98620e-02,-0.348328
-4.98610e-02,-0.347625
-4.98600e-02,-0.347891
-4.98590e-02,-0.348594
-4.98580e-02,-0.346047
-4.98570e-02,-0.346438
-4.98560e-02,-0.345563
-4.98550e-02,-0.348234
-4.98540e-02,-0.347234
-4.98530e-02,-0.348031
-4.98520e-02,-0.347328
-4.98510e-02,-0.349156
-4.98500e-02,-0.347516
-4.98490e-02,-0.348531
-4.98480e-02,-0.347531
-4.98470e-02,-0.348344
-4.98460e-02,-0.347125
-4.98450e-02,-0.347141
-4.98440e-02,-0.348781
-4.98430e-02,-0.3485
-4.98420e-02,-0.347141
-4.98410e-02,-0.347672
-4.98400e-02,-0.347734
-4.98390e-02,-0.347078
-4.98380e-02,-0.347938
-4.98370e-02,-0.346391
-4.98360e-02,-0.347422
-4.98350e-02,-0.347594
-4.98340e-02,-0.348391
-4.98330e-02,-0.348766
-4.98320e-02,-0.347641
-4.98310e-02,-0.348078
-4.98300e-02,-0.348484
-4.98290e-02,-0.348906
-4.98280e-02,-0.348922
-4.98270e-02,-0.34775
-4.98260e-02,-0.347609
-4.98250e-02,-0.347719
-4.98240e-02,-0.348078
-4.98230e-02,-0.34725
-4.98220e-02,-0.347672
-4.98210e-02,-0.349031
-4.98200e-02,-0.346406
-4.98190e-02,-0.347578
-4.98180e-02,-0.348813
-4.98170e-02,-0.349531
-4.98160e-02,-0.349078
-4.98150e-02,-0.349813
-4.98140e-02,-0.347906
-4.98130e-02,-0.347109
-4.98120e-02,-0.348984
-4.98110e-02,-0.349656
-4.98100e-02,-0.348891
-4.98090e-02,-0.347844
-4.98080e-02,-0.347281
-4.98070e-02,-0.347984
-4.98060e-02,-0.347594
-4.98050e-02,-0.347266
-4.98040e-02,-0.347438
-4.98030e-02,-0.347828
-4.98020e-02,-0.348781
-4.98010e-02,-0.348391
-4.98000e-02,-0.347891
-4.97990e-02,-0.348859
-4.97980e-02,-0.347063
-4.97970e-02,-0.349828
-4.97960e-02,-0.347219
-4.97950e-02,-0.346594
-4.97940e-02,-0.348344
-4.97930e-02,-0.347047
-4.97920e-02,-0.348156
-4.97910e-02,-0.349266
-4.97900e-02,-0.349734
-4.97890e-02,-0.346844
-4.97880e-02,-0.348422
-4.97870e-02,-0.348344
-4.97860e-02,-0.349125
-4.97850e-02,-0.349
-4.97840e-02,-0.348406
-4.97830e-02,-0.349
-4.97820e-02,-0.347328
-4.97810e-02,-0.348344
-4.97800e-02,-0.348188
-4.97790e-02,-0.348109
-4.97780e-02,-0.348594
-4.97770e-02,-0.348406
-4.97760e-02,-0.347953
-4.97750e-02,-0.347656
-4.97740e-02,-0.347875
-4.97730e-02,-0.349578
-4.97720e-02,-0.347359
-4.97710e-02,-0.348813
-4.97700e-02,-0.348938
-4.97690e-02,-0.3485
-4.97680e-02,-0.349297
-4.97670e-02,-0.349047
-4.97660e-02,-0.3485
-4.97650e-02,-0.349719
-4.97640e-02,-0.348375
-4.97630e-02,-0.349422
-4.97620e-02,-0.348719
-4.97610e-02,-0.347719
-4.97600e-02,-0.348313
-4.97590e-02,-0.349016
-4.97580e-02,-0.349109
-4.97570e-02,-0.348156
-4.97560e-02,-0.348922
-4.97550e-02,-0.349344
-4.97540e-02,-0.348328
-4.97530e-02,-0.349359
-4.97520e-02,-0.348203
-4.97510e-02,-0.348297
-4.97500e-02,-0.348719
-4.97490e-02,-0.348484
-4.97480e-02,-0.349313
-4.97470e-02,-0.350703
-4.97460e-02,-0.348281
-4.97450e-02,-0.346703
-4.97440e-02,-0.349438
-4.97430e-02,-0.347906
-4.97420e-02,-0.347875
-4.97410e-02,-0.347578
-4.97400e-02,-0.347
-4.97390e-02,-0.347359
-4.97380e-02,-0.348109
-4.97370e-02,-0.349625
-4.97360e-02,-0.348703
-4.97350e-02,-0.349156
-4.97340e-02,-0.348625
-4.97330e-02,-0.349203
-4.97320e-02,-0.348672
-4.97310e-02,-0.346016
-4.97300e-02,-0.348984
-4.97290e-02,-0.349125
-4.97280e-02,-0.347844
-4.97270e-02,-0.348688
-4.97260e-02,-0.348094
-4.97250e-02,-0.348125
-4.97240e-02,-0.349109
-4.97230e-02,-0.348438
-4.97220e-02,-0.349922
-4.97210e-02,-0.349344
-4.97200e-02,-0.349688
-4.97190e-02,-0.347922
-4.97180e-02,-0.349641
-4.97170e-02,-0.348109
-4.97160e-02,-0.349563
