Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.02
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.719841
-5.00990e-02,-0.719591
-5.00980e-02,-0.719966
-5.00970e-02,-0.719672
-5.00960e-02,-0.719916
-5.00950e-02,-0.719644
-5.00940e-02,-0.719709
-5.00930e-02,-0.719831
-5.00920e-02,-0.719678
-5.00910e-02,-0.719544
-5.00900e-02,-0.719709
-5.00890e-02,-0.719366
-5.00880e-02,-0.71995
-5.00870e-02,-0.719488
-5.00860e-02,-0.719647
-5.00850e-02,-0.719956
-5.00840e-02,-0.719675
-5.00830e-02,-0.719844
-5.00820e-02,-0.719819
-5.00810e-02,-0.719934
-5.00800e-02,-0.719703
-5.00790e-02,-0.71975
-5.00780e-02,-0.719938
-5.00770e-02,-0.719884
-5.00760e-02,-0.719713
-5.00750e-02,-0.71985
-5.00740e-02,-0.719813
-5.00730e-02,-0.719856
-5.00720e-02,-0.719597
-5.00710e-02,-0.720084
-5.00700e-02,-0.719775
-5.00690e-02,-0.720131
-5.00680e-02,-0.719881
-5.00670e-02,-0.719966
-5.00660e-02,-0.720216
-5.00650e-02,-0.719981
-5.00640e-02,-0.719734
-5.00630e-02,-0.720194
-5.00620e-02,-0.719941
-5.00610e-02,-0.720084
-5.00600e-02,-0.720022
-5.00590e-02,-0.720016
-5.00580e-02,-0.720134
-5.00570e-02,-0.719963
-5.00560e-02,-0.720053
-5.00550e-02,-0.719856
-5.00540e-02,-0.719947
-5.00530e-02,-0.720106
-5.00520e-02,-0.72015
-5.00510e-02,-0.720069
-5.00500e-02,-0.720097
-5.00490e-02,-0.72025
-5.00480e-02,-0.719794
-5.00470e-02,-0.719872
-5.00460e-02,-0.719931
-5.00450e-02,-0.720094
-5.00440e-02,-0.719797
-5.00430e-02,-0.720184
-5.00420e-02,-0.719947
-5.00410e-02,-0.720134
-5.00400e-02,-0.720025
-5.00390e-02,-0.720047
-5.00380e-02,-0.720056
-5.00370e-02,-0.720206
-5.00360e-02,-0.720328
-5.00350e-02,-0.720441
-5.00340e-02,-0.720169
-5.00330e-02,-0.720244
-5.00320e-02,-0.720125
-5.00310e-02,-0.720138
-5.00300e-02,-0.720106
-5.00290e-02,-0.720313
-5.00280e-02,-0.720241
-5.00270e-02,-0.720409
-5.00260e-02,-0.720213
-5.00250e-02,-0.720191
-5.00240e-02,-0.720328
-5.00230e-02,-0.720109
-5.00220e-02,-0.720253
-5.00210e-02,-0.720363
-5.00200e-02,-0.720116
-5.00190e-02,-0.720169
-5.00180e-02,-0.719972
-5.00170e-02,-0.720134
-5.00160e-02,-0.720069
-5.00150e-02,-0.720394
-5.00140e-02,-0.720163
-5.00130e-02,-0.720494
-5.00120e-02,-0.720113
-5.00110e-02,-0.720547
-5.00100e-02,-0.720041
-5.00090e-02,-0.720375
-5.00080e-02,-0.720422
-5.00070e-02,-0.720244
-5.00060e-02,-0.720422
-5.00050e-02,-0.720028
-5.00040e-02,-0.720472
-5.00030e-02,-0.720328
-5.00020e-02,-0.720291
-5.00010e-02,-0.720513
-5.00000e-02,-0.7202
-4.99990e-02,-0.720381
-4.99980e-02,-0.720194
-4.99970e-02,-0.720272
-4.99960e-02,-0.720356
-4.99950e-02,-0.720566
-4.99940e-02,-0.720403
-4.99930e-02,-0.720609
-4.99920e-02,-0.720369
-4.99910e-02,-0.720116
-4.99900e-02,-0.720625
-4.99890e-02,-0.720466
-4.99880e-02,-0.720269
-4.99870e-02,-0.720297
-4.99860e-02,-0.720722
-4.99850e-02,-0.720234
-4.99840e-02,-0.720488
-4.99830e-02,-0.720384
-4.99820e-02,-0.7205
-4.99810e-02,-0.720775
-4.99800e-02,-0.720584
-4.99790e-02,-0.72035
-4.99780e-02,-0.720372
-4.99770e-02,-0.720513
-4.99760e-02,-0.720231
-4.99750e-02,-0.720441
-4.99740e-02,-0.720316
-4.99730e-02,-0.720509
-4.99720e-02,-0.720431
-4.99710e-02,-0.720484
-4.99700e-02,-0.720288
-4.99690e-02,-0.720297
-4.99680e-02,-0.720359
-4.99670e-02,-0.720484
-4.99660e-02,-0.720775
-4.99650e-02,-0.720588
-4.99640e-02,-0.720816
-4.99630e-02,-0.720394
-4.99620e-02,-0.720619
-4.99610e-02,-0.720713
-4.99600e-02,-0.720681
-4.99590e-02,-0.720328
-4.99580e-02,-0.720697
-4.99570e-02,-0.720678
-4.99560e-02,-0.720503
-4.99550e-02,-0.720384
-4.99540e-02,-0.720788
-4.99530e-02,-0.720375
-4.99520e-02,-0.720384
-4.99510e-02,-0.720644
-4.99500e-02,-0.720653
-4.99490e-02,-0.720528
-4.99480e-02,-0.720331
-4.99470e-02,-0.720366
-4.99460e-02,-0.720794
-4.99450e-02,-0.720703
-4.99440e-02,-0.720541
-4.99430e-02,-0.720813
-4.99420e-02,-0.720506
-4.99410e-02,-0.720831
-4.99400e-02,-0.720425
-4.99390e-02,-0.720784
-4.99380e-02,-0.720566
-4.99370e-02,-0.720622
-4.99360e-02,-0.720788
-4.99350e-02,-0.720528
-4.99340e-02,-0.720431
-4.99330e-02,-0.720791
-4.99320e-02,-0.720634
-4.99310e-02,-0.720934
-4.99300e-02,-0.720863
-4.99290e-02,-0.720491
-4.99280e-02,-0.720425
-4.99270e-02,-0.720609
-4.99260e-02,-0.720644
-4.99250e-02,-0.720363
-4.99240e-02,-0.720403
-4.99230e-02,-0.720347
-4.99220e-02,-0.720853
-4.99210e-02,-0.720775
-4.99200e-02,-0.720734
-4.99190e-02,-0.720744
-4.99180e-02,-0.720425
-4.99170e-02,-0.720731
-4.99160e-02,-0.720603
-4.99150e-02,-0.720556
-4.99140e-02,-0.720581
-4.99130e-02,-0.72075
-4.99120e-02,-0.720719
-4.99110e-02,-0.720747
-4.99100e-02,-0.720738
-4.99090e-02,-0.7206
-4.99080e-02,-0.720834
-4.99070e-02,-0.720566
-4.99060e-02,-0.720875
-4.99050e-02,-0.720678
-4.99040e-02,-0.720363
-4.99030e-02,-0.720441
-4.99020e-02,-0.720453
-4.99010e-02,-0.720394
-4.99000e-02,-0.720266
-4.98990e-02,-0.720716
-4.98980e-02,-0.720578
-4.98970e-02,-0.720747
-4.98960e-02,-0.720828
-4.98950e-02,-0.720634
-4.98940e-02,-0.720713
-4.98930e-02,-0.720591
-4.98920e-02,-0.720803
-4.98910e-02,-0.720769
-4.98900e-02,-0.720603
-4.98890e-02,-0.720769
-4.98880e-02,-0.720672
-4.98870e-02,-0.720278
-4.98860e-02,-0.720866
-4.98850e-02,-0.720966
-4.98840e-02,-0.720784
-4.98830e-02,-0.720556
-4.98820e-02,-0.72055
-4.98810e-02,-0.720788
-4.98800e-02,-0.720922
-4.98790e-02,-0.720881
-4.98780e-02,-0.720891
-4.98770e-02,-0.720584
-4.98760e-02,-0.720653
-4.98750e-02,-0.720847
-4.98740e-02,-0.720928
-4.98730e-02,-0.720856
-4.98720e-02,-0.720709
-4.98710e-02,-0.720522
-4.98700e-02,-0.720878
-4.98690e-02,-0.720816
-4.98680e-02,-0.720763
-4.98670e-02,-0.720963
-4.98660e-02,-0.720925
-4.98650e-02,-0.720903
-4.98640e-02,-0.72105
-4.98630e-02,-0.721091
-4.98620e-02,-0.720909
-4.98610e-02,-0.721041
-4.98600e-02,-0.720878
-4.98590e-02,-0.7207
-4.98580e-02,-0.720806
-4.98570e-02,-0.72075
-4.98560e-02,-0.720963
-4.98550e-02,-0.720734
-4.98540e-02,-0.721028
-4.98530e-02,-0.720897
-4.98520e-02,-0.720813
-4.98510e-02,-0.721028
-4.98500e-02,-0.720534
-4.98490e-02,-0.720819
-4.98480e-02,-0.720922
-4.98470e-02,-0.720913
-4.98460e-02,-0.721041
-4.98450e-02,-0.720769
-4.98440e-02,-0.720875
-4.98430e-02,-0.720997
-4.98420e-02,-0.720856
-4.98410e-02,-0.721103
-4.98400e-02,-0.720975
-4.98390e-02,-0.720697
-4.98380e-02,-0.720913
-4.98370e-02,-0.72085
-4.98360e-02,-0.720725
-4.98350e-02,-0.720994
-4.98340e-02,-0.720984
-4.98330e-02,-0.720738
-4.98320e-02,-0.720781
-4.98310e-02,-0.721247
-4.98300e-02,-0.720678
-4.98290e-02,-0.720913
-4.98280e-02,-0.721147
-4.98270e-02,-0.721116
-4.98260e-02,-0.721303
-4.98250e-02,-0.720706
-4.98240e-02,-0.721175
-4.98230e-02,-0.720963
-4.98220e-02,-0.721597
-4.98210e-02,-0.720884
-4.98200e-02,-0.720909
-4.98190e-02,-0.721291
-4.98180e-02,-0.720959
-4.98170e-02,-0.721203
-4.98160e-02,-0.721184
-4.98150e-02,-0.721244
-4.98140e-02,-0.721369
-4.98130e-02,-0.721222
-4.98120e-02,-0.721397
-4.98110e-02,-0.721166
-4.98100e-02,-0.720888
-4.98090e-02,-0.721238
-4.98080e-02,-0.721175
-4.98070e-02,-0.721597
-4.98060e-02,-0.721334
-4.98050e-02,-0.721244
-4.98040e-02,-0.721253
-4.98030e-02,-0.721094
-4.98020e-02,-0.721025
-4.98010e-02,-0.721175
-4.98000e-02,-0.721606
-4.97990e-02,-0.721256
-4.97980e-02,-0.721341
-4.97970e-02,-0.72145
-4.97960e-02,-0.721603
-4.97950e-02,-0.721334
-4.97940e-02,-0.721163
-4.97930e-02,-0.721419
-4.97920e-02,-0.721422
-4.97910e-02,-0.721244
-4.97900e-02,-0.721434
-4.97890e-02,-0.721281
-4.97880e-02,-0.721388
-4.97870e-02,-0.721259
-4.97860e-02,-0.721009
-4.97850e-02,-0.721322
-4.97840e-02,-0.721072
-4.97830e-02,-0.721353
-4.97820e-02,-0.721444
-4.97810e-02,-0.721597
-4.97800e-02,-0.721288
-4.97790e-02,-0.721341
-4.97780e-02,-0.721253
-4.97770e-02,-0.7214
-4.97760e-02,-0.721441
-4.97750e-02,-0.721841
-4.97740e-02,-0.721375
-4.97730e-02,-0.721734
-4.97720e-02,-0.721734
-4.97710e-02,-0.721156
-4.97700e-02,-0.721881
-4.97690e-02,-0.721409
-4.97680e-02,-0.721656
-4.97670e-02,-0.721659
-4.97660e-02,-0.721181
-4.97650e-02,-0.721478
-4.97640e-02,-0.721703
-4.97630e-02,-0.721606
-4.97620e-02,-0.721438
-4.97610e-02,-0.721409
-4.97600e-02,-0.721497
-4.97590e-02,-0.721881
-4.97580e-02,-0.721756
-4.97570e-02,-0.721534
-4.97560e-02,-0.721444
-4.97550e-02,-0.7216
-4.97540e-02,-0.721797
-4.97530e-02,-0.721697
-4.97520e-02,-0.721763
-4.97510e-02,-0.721691
-4.97500e-02,-0.721606
-4.97490e-02,-0.721625
-4.97480e-02,-0.722053
-4.97470e-02,-0.721928
-4.97460e-02,-0.721863
-4.97450e-02,-0.722147
-4.97440e-02,-0.721609
-4.97430e-02,-0.721722
-4.97420e-02,-0.722109
-4.97410e-02,-0.721994
-4.97400e-02,-0.7218
-4.97390e-02,-0.721681
-4.97380e-02,-0.721641
-4.97370e-02,-0.721866
-4.97360e-02,-0.721741
-4.97350e-02,-0.721881
-4.97340e-02,-0.7217
-4.97330e-02,-0.7217
-4.97320e-02,-0.722069
-4.97310e-02,-0.721966
-4.97300e-02,-0.721825
-4.97290e-02,-0.721966
-4.97280e-02,-0.722141
-4.97270e-02,-0.721894
-4.97260e-02,-0.721944
-4.97250e-02,-0.721778
-4.97240e-02,-0.722138
-4.97230e-02,-0.721947
-4.97220e-02,-0.721831
-4.97210e-02,-0.722325
-4.97200e-02,-0.721878
-4.97190e-02,-0.722031
-4.97180e-02,-0.721847
-4.97170e-02,-0.721969
-4.97160e-02,-0.721881
