Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.02
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.720656
-5.00990e-02,-0.720484
-5.00980e-02,-0.720694
-5.00970e-02,-0.720413
-5.00960e-02,-0.720363
-5.00950e-02,-0.720372
-5.00940e-02,-0.720603
-5.00930e-02,-0.720378
-5.00920e-02,-0.720456
-5.00910e-02,-0.720859
-5.00900e-02,-0.720891
-5.00890e-02,-0.720784
-5.00880e-02,-0.720422
-5.00870e-02,-0.720403
-5.00860e-02,-0.720672
-5.00850e-02,-0.720738
-5.00840e-02,-0.720503
-5.00830e-02,-0.720353
-5.00820e-02,-0.720478
-5.00810e-02,-0.720469
-5.00800e-02,-0.720344
-5.00790e-02,-0.720378
-5.00780e-02,-0.720553
-5.00770e-02,-0.720694
-5.00760e-02,-0.720388
-5.00750e-02,-0.720731
-5.00740e-02,-0.720413
-5.00730e-02,-0.720678
-5.00720e-02,-0.720806
-5.00710e-02,-0.721
-5.00700e-02,-0.720584
-5.00690e-02,-0.720622
-5.00680e-02,-0.720738
-5.00670e-02,-0.720969
-5.00660e-02,-0.720616
-5.00650e-02,-0.720519
-5.00640e-02,-0.720659
-5.00630e-02,-0.720544
-5.00620e-02,-0.720659
-5.00610e-02,-0.720588
-5.00600e-02,-0.720759
-5.00590e-02,-0.720747
-5.00580e-02,-0.721131
-5.00570e-02,-0.720825
-5.00560e-02,-0.720731
-5.00550e-02,-0.720563
-5.00540e-02,-0.720666
-5.00530e-02,-0.720988
-5.00520e-02,-0.721197
-5.00510e-02,-0.720588
-5.00500e-02,-0.720844
-5.00490e-02,-0.720878
-5.00480e-02,-0.720809
-5.00470e-02,-0.720669
-5.00460e-02,-0.721084
-5.00450e-02,-0.720909
-5.00440e-02,-0.720656
-5.00430e-02,-0.720709
-5.00420e-02,-0.721034
-5.00410e-02,-0.720588
-5.00400e-02,-0.720909
-5.00390e-02,-0.720806
-5.00380e-02,-0.720844
-5.00370e-02,-0.720997
-5.00360e-02,-0.720963
-5.00350e-02,-0.721147
-5.00340e-02,-0.7211
-5.00330e-02,-0.720816
-5.00320e-02,-0.721053
-5.00310e-02,-0.720666
-5.00300e-02,-0.721106
-5.00290e-02,-0.721097
-5.00280e-02,-0.721088
-5.00270e-02,-0.721219
-5.00260e-02,-0.721166
-5.00250e-02,-0.721191
-5.00240e-02,-0.720916
-5.00230e-02,-0.720781
-5.00220e-02,-0.721138
-5.00210e-02,-0.721125
-5.00200e-02,-0.721178
-5.00190e-02,-0.721138
-5.00180e-02,-0.721
-5.00170e-02,-0.721122
-5.00160e-02,-0.721128
-5.00150e-02,-0.721253
-5.00140e-02,-0.721266
-5.00130e-02,-0.721241
-5.00120e-02,-0.721269
-5.00110e-02,-0.721406
-5.00100e-02,-0.721453
-5.00090e-02,-0.721206
-5.00080e-02,-0.721319
-5.00070e-02,-0.721138
-5.00060e-02,-0.721184
-5.00050e-02,-0.721397
-5.00040e-02,-0.721425
-5.00030e-02,-0.721363
-5.00020e-02,-0.721556
-5.00010e-02,-0.721441
-5.00000e-02,-0.721634
-4.99990e-02,-0.7217
-4.99980e-02,-0.721622
-4.99970e-02,-0.721434
-4.99960e-02,-0.721378
-4.99950e-02,-0.721659
-4.99940e-02,-0.721438
-4.99930e-02,-0.721525
-4.99920e-02,-0.721294
-4.99910e-02,-0.721141
-4.99900e-02,-0.721541
-4.99890e-02,-0.721422
-4.99880e-02,-0.721491
-4.99870e-02,-0.721497
-4.99860e-02,-0.721338
-4.99850e-02,-0.721547
-4.99840e-02,-0.721813
-4.99830e-02,-0.72165
-4.99820e-02,-0.72155
-4.99810e-02,-0.721597
-4.99800e-02,-0.721728
-4.99790e-02,-0.721506
-4.99780e-02,-0.721528
-4.99770e-02,-0.721844
-4.99760e-02,-0.721803
-4.99750e-02,-0.721997
-4.99740e-02,-0.721488
-4.99730e-02,-0.721834
-4.99720e-02,-0.7218
-4.99710e-02,-0.721997
-4.99700e-02,-0.721959
-4.99690e-02,-0.721878
-4.99680e-02,-0.72165
-4.99670e-02,-0.721688
-4.99660e-02,-0.721938
-4.99650e-02,-0.721984
-4.99640e-02,-0.721725
-4.99630e-02,-0.721744
-4.99620e-02,-0.721819
-4.99610e-02,-0.722053
-4.99600e-02,-0.721869
-4.99590e-02,-0.721903
-4.99580e-02,-0.722013
-4.99570e-02,-0.721566
-4.99560e-02,-0.721809
-4.99550e-02,-0.721872
-4.99540e-02,-0.722003
-4.99530e-02,-0.721928
-4.99520e-02,-0.721872
-4.99510e-02,-0.722
-4.99500e-02,-0.72205
-4.99490e-02,-0.722081
-4.99480e-02,-0.722259
-4.99470e-02,-0.721738
-4.99460e-02,-0.722097
-4.99450e-02,-0.721756
-4.99440e-02,-0.722428
-4.99430e-02,-0.721806
-4.99420e-02,-0.721988
-4.99410e-02,-0.721894
-4.99400e-02,-0.721875
-4.99390e-02,-0.72185
-4.99380e-02,-0.721744
-4.99370e-02,-0.722197
-4.99360e-02,-0.722206
-4.99350e-02,-0.722238
-4.99340e-02,-0.722269
-4.99330e-02,-0.722281
-4.99320e-02,-0.722122
-4.99310e-02,-0.722113
-4.99300e-02,-0.722128
-4.99290e-02,-0.722403
-4.99280e-02,-0.722238
-4.99270e-02,-0.722575
-4.99260e-02,-0.722281
-4.99250e-02,-0.722256
-4.99240e-02,-0.722431
-4.99230e-02,-0.721934
-4.99220e-02,-0.722394
-4.99210e-02,-0.722113
-4.99200e-02,-0.722381
-4.99190e-02,-0.722306
-4.99180e-02,-0.722416
-4.99170e-02,-0.722638
-4.99160e-02,-0.722244
-4.99150e-02,-0.7223
-4.99140e-02,-0.722228
-4.99130e-02,-0.722216
-4.99120e-02,-0.722616
-4.99110e-02,-0.722034
-4.99100e-02,-0.722575
-4.99090e-02,-0.7223
-4.99080e-02,-0.722522
-4.99070e-02,-0.722563
-4.99060e-02,-0.722466
-4.99050e-02,-0.722581
-4.99040e-02,-0.722316
-4.99030e-02,-0.722613
-4.99020e-02,-0.722466
-4.99010e-02,-0.722578
-4.99000e-02,-0.722419
-4.98990e-02,-0.722609
-4.98980e-02,-0.722475
-4.98970e-02,-0.722388
-4.98960e-02,-0.722434
-4.98950e-02,-0.722438
-4.98940e-02,-0.722803
-4.98930e-02,-0.722841
-4.98920e-02,-0.722653
-4.98910e-02,-0.722678
-4.98900e-02,-0.7226
-4.98890e-02,-0.722553
-4.98880e-02,-0.722544
-4.98870e-02,-0.722647
-4.98860e-02,-0.722616
-4.98850e-02,-0.722669
-4.98840e-02,-0.722947
-4.98830e-02,-0.722716
-4.98820e-02,-0.72265
-4.98810e-02,-0.722666
-4.98800e-02,-0.722944
-4.98790e-02,-0.722913
-4.98780e-02,-0.722841
-4.98770e-02,-0.722791
-4.98760e-02,-0.722944
-4.98750e-02,-0.722663
-4.98740e-02,-0.722641
-4.98730e-02,-0.72275
-4.98720e-02,-0.722459
-4.98710e-02,-0.722706
-4.98700e-02,-0.722681
-4.98690e-02,-0.722781
-4.98680e-02,-0.722928
-4.98670e-02,-0.722819
-4.98660e-02,-0.723134
-4.98650e-02,-0.722856
-4.98640e-02,-0.722928
-4.98630e-02,-0.722966
-4.98620e-02,-0.722781
-4.98610e-02,-0.72275
-4.98600e-02,-0.722763
-4.98590e-02,-0.722963
-4.98580e-02,-0.723016
-4.98570e-02,-0.722688
-4.98560e-02,-0.722909
-4.98550e-02,-0.722881
-4.98540e-02,-0.722919
-4.98530e-02,-0.722981
-4.98520e-02,-0.722666
-4.98510e-02,-0.723084
-4.98500e-02,-0.722919
-4.98490e-02,-0.72315
-4.98480e-02,-0.722838
-4.98470e-02,-0.723269
-4.98460e-02,-0.722981
-4.98450e-02,-0.722869
-4.98440e-02,-0.722941
-4.98430e-02,-0.723081
-4.98420e-02,-0.723041
-4.98410e-02,-0.723097
-4.98400e-02,-0.723203
-4.98390e-02,-0.723006
-4.98380e-02,-0.722613
-4.98370e-02,-0.722841
-4.98360e-02,-0.723028
-4.98350e-02,-0.723169
-4.98340e-02,-0.723063
-4.98330e-02,-0.722975
-4.98320e-02,-0.723034
-4.98310e-02,-0.722925
-4.98300e-02,-0.722916
-4.98290e-02,-0.722991
-4.98280e-02,-0.723284
-4.98270e-02,-0.723022
-4.98260e-02,-0.723431
-4.98250e-02,-0.723241
-4.98240e-02,-0.723019
-4.98230e-02,-0.723213
-4.98220e-02,-0.722791
-4.98210e-02,-0.723319
-4.98200e-02,-0.722941
-4.98190e-02,-0.723003
-4.98180e-02,-0.723113
-4.98170e-02,-0.723113
-4.98160e-02,-0.722947
-4.98150e-02,-0.723194
-4.98140e-02,-0.723028
-4.98130e-02,-0.723213
-4.98120e-02,-0.723044
-4.98110e-02,-0.722941
-4.98100e-02,-0.723088
-4.98090e-02,-0.72325
-4.98080e-02,-0.723206
-4.98070e-02,-0.723097
-4.98060e-02,-0.722863
-4.98050e-02,-0.723178
-4.98040e-02,-0.722975
-4.98030e-02,-0.722981
-4.98020e-02,-0.723325
-4.98010e-02,-0.723159
-4.98000e-02,-0.723113
-4.97990e-02,-0.723416
-4.97980e-02,-0.72335
-4.97970e-02,-0.723306
-4.97960e-02,-0.723219
-4.97950e-02,-0.723166
-4.97940e-02,-0.723425
-4.97930e-02,-0.723238
-4.97920e-02,-0.723175
-4.97910e-02,-0.723253
-4.97900e-02,-0.723413
-4.97890e-02,-0.723163
-4.97880e-02,-0.722838
-4.97870e-02,-0.723188
-4.97860e-02,-0.723378
-4.97850e-02,-0.722988
-4.97840e-02,-0.723088
-4.97830e-02,-0.723322
-4.97820e-02,-0.72345
-4.97810e-02,-0.723009
-4.97800e-02,-0.723066
-4.97790e-02,-0.723228
-4.97780e-02,-0.723491
-4.97770e-02,-0.7231
-4.97760e-02,-0.723125
-4.97750e-02,-0.72345
-4.97740e-02,-0.72335
-4.97730e-02,-0.723238
-4.97720e-02,-0.723309
-4.97710e-02,-0.723206
-4.97700e-02,-0.723153
-4.97690e-02,-0.723356
-4.97680e-02,-0.723419
-4.97670e-02,-0.723028
-4.97660e-02,-0.723456
-4.97650e-02,-0.723281
-4.97640e-02,-0.7231
-4.97630e-02,-0.723222
-4.97620e-02,-0.723269
-4.97610e-02,-0.723306
-4.97600e-02,-0.723278
-4.97590e-02,-0.723347
-4.97580e-02,-0.722975
-4.97570e-02,-0.723328
-4.97560e-02,-0.723163
-4.97550e-02,-0.723378
-4.97540e-02,-0.723506
-4.97530e-02,-0.723097
-4.97520e-02,-0.723384
-4.97510e-02,-0.723203
-4.97500e-02,-0.723384
-4.97490e-02,-0.7233
-4.97480e-02,-0.723378
-4.97470e-02,-0.723478
-4.97460e-02,-0.723284
-4.97450e-02,-0.723253
-4.97440e-02,-0.7234
-4.97430e-02,-0.723403
-4.97420e-02,-0.723369
-4.97410e-02,-0.723078
-4.97400e-02,-0.723094
-4.97390e-02,-0.723403
-4.97380e-02,-0.723306
-4.97370e-02,-0.723131
-4.97360e-02,-0.723241
-4.97350e-02,-0.723078
-4.97340e-02,-0.723238
-4.97330e-02,-0.723141
-4.97320e-02,-0.723113
-4.97310e-02,-0.723091
-4.97300e-02,-0.723616
-4.97290e-02,-0.723331
-4.97280e-02,-0.723303
-4.97270e-02,-0.723019
-4.97260e-02,-0.723331
-4.97250e-02,-0.723372
-4.97240e-02,-0.723166
-4.97230e-02,-0.723309
-4.97220e-02,-0.723447
-4.97210e-02,-0.723188
-4.97200e-02,-0.723238
-4.97190e-02,-0.723266
-4.97180e-02,-0.72345
-4.97170e-02,-0.723394
-4.97160e-02,-0.723309
