Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.02
Vertical Position,-5
,
,
,
Label,
TIME,CH2
-5.01000e-02,-0.7192
-5.00990e-02,-0.719166
-5.00980e-02,-0.7192
-5.00970e-02,-0.719222
-5.00960e-02,-0.719197
-5.00950e-02,-0.719584
-5.00940e-02,-0.719222
-5.00930e-02,-0.718994
-5.00920e-02,-0.719494
-5.00910e-02,-0.719431
-5.00900e-02,-0.719238
-5.00890e-02,-0.719397
-5.00880e-02,-0.719756
-5.00870e-02,-0.719613
-5.00860e-02,-0.7197
-5.00850e-02,-0.719691
-5.00840e-02,-0.719378
-5.00830e-02,-0.719416
-5.00820e-02,-0.719819
-5.00810e-02,-0.719959
-5.00800e-02,-0.719125
-5.00790e-02,-0.719544
-5.00780e-02,-0.719766
-5.00770e-02,-0.719709
-5.00760e-02,-0.719519
-5.00750e-02,-0.719513
-5.00740e-02,-0.719575
-5.00730e-02,-0.719959
-5.00720e-02,-0.719359
-5.00710e-02,-0.719406
-5.00700e-02,-0.719659
-5.00690e-02,-0.719888
-5.00680e-02,-0.719644
-5.00670e-02,-0.719753
-5.00660e-02,-0.719656
-5.00650e-02,-0.719747
-5.00640e-02,-0.719791
-5.00630e-02,-0.71985
-5.00620e-02,-0.719919
-5.00610e-02,-0.719881
-5.00600e-02,-0.719725
-5.00590e-02,-0.719825
-5.00580e-02,-0.719797
-5.00570e-02,-0.719991
-5.00560e-02,-0.719972
-5.00550e-02,-0.719763
-5.00540e-02,-0.71995
-5.00530e-02,-0.719666
-5.00520e-02,-0.719644
-5.00510e-02,-0.719888
-5.00500e-02,-0.719838
-5.00490e-02,-0.719978
-5.00480e-02,-0.720053
-5.00470e-02,-0.719809
-5.00460e-02,-0.719934
-5.00450e-02,-0.720078
-5.00440e-02,-0.719975
-5.00430e-02,-0.719959
-5.00420e-02,-0.719888
-5.00410e-02,-0.720353
-5.00400e-02,-0.719944
-5.00390e-02,-0.720088
-5.00380e-02,-0.720525
-5.00370e-02,-0.720106
-5.00360e-02,-0.720278
-5.00350e-02,-0.720131
-5.00340e-02,-0.720022
-5.00330e-02,-0.720159
-5.00320e-02,-0.720238
-5.00310e-02,-0.720419
-5.00300e-02,-0.720294
-5.00290e-02,-0.720253
-5.00280e-02,-0.720469
-5.00270e-02,-0.720475
-5.00260e-02,-0.720184
-5.00250e-02,-0.720222
-5.00240e-02,-0.720306
-5.00230e-02,-0.720344
-5.00220e-02,-0.720313
-5.00210e-02,-0.720275
-5.00200e-02,-0.720616
-5.00190e-02,-0.720978
-5.00180e-02,-0.720372
-5.00170e-02,-0.720428
-5.00160e-02,-0.720244
-5.00150e-02,-0.720575
-5.00140e-02,-0.720575
-5.00130e-02,-0.720756
-5.00120e-02,-0.720591
-5.00110e-02,-0.720388
-5.00100e-02,-0.720666
-5.00090e-02,-0.72055
-5.00080e-02,-0.720572
-5.00070e-02,-0.720303
-5.00060e-02,-0.720834
-5.00050e-02,-0.720656
-5.00040e-02,-0.720681
-5.00030e-02,-0.720709
-5.00020e-02,-0.720556
-5.00010e-02,-0.720966
-5.00000e-02,-0.720772
-4.99990e-02,-0.720656
-4.99980e-02,-0.720716
-4.99970e-02,-0.720541
-4.99960e-02,-0.720728
-4.99950e-02,-0.720647
-4.99940e-02,-0.720788
-4.99930e-02,-0.720772
-4.99920e-02,-0.720894
-4.99910e-02,-0.720653
-4.99900e-02,-0.720791
-4.99890e-02,-0.720766
-4.99880e-02,-0.721088
-4.99870e-02,-0.720706
-4.99860e-02,-0.721028
-4.99850e-02,-0.720909
-4.99840e-02,-0.720813
-4.99830e-02,-0.72085
-4.99820e-02,-0.720625
-4.99810e-02,-0.720869
-4.99800e-02,-0.720741
-4.99790e-02,-0.721178
-4.99780e-02,-0.720722
-4.99770e-02,-0.721091
-4.99760e-02,-0.721006
-4.99750e-02,-0.720663
-4.99740e-02,-0.721069
-4.99730e-02,-0.721022
-4.99720e-02,-0.720916
-4.99710e-02,-0.721091
-4.99700e-02,-0.721034
-4.99690e-02,-0.720834
-4.99680e-02,-0.720788
-4.99670e-02,-0.721256
-4.99660e-02,-0.720847
-4.99650e-02,-0.721038
-4.99640e-02,-0.720981
-4.99630e-02,-0.721022
-4.99620e-02,-0.720897
-4.99610e-02,-0.721194
-4.99600e-02,-0.721122
-4.99590e-02,-0.721069
-4.99580e-02,-0.720919
-4.99570e-02,-0.721109
-4.99560e-02,-0.72095
-4.99550e-02,-0.721353
-4.99540e-02,-0.72115
-4.99530e-02,-0.720903
-4.99520e-02,-0.720863
-4.99510e-02,-0.721028
-4.99500e-02,-0.721394
-4.99490e-02,-0.721238
-4.99480e-02,-0.721291
-4.99470e-02,-0.721075
-4.99460e-02,-0.721091
-4.99450e-02,-0.721244
-4.99440e-02,-0.721125
-4.99430e-02,-0.721406
-4.99420e-02,-0.721159
-4.99410e-02,-0.721309
-4.99400e-02,-0.721053
-4.99390e-02,-0.721194
-4.99380e-02,-0.72085
-4.99370e-02,-0.721203
-4.99360e-02,-0.72105
-4.99350e-02,-0.721041
-4.99340e-02,-0.721156
-4.99330e-02,-0.721272
-4.99320e-02,-0.720922
-4.99310e-02,-0.721166
-4.99300e-02,-0.721513
-4.99290e-02,-0.721372
-4.99280e-02,-0.721256
-4.99270e-02,-0.721416
-4.99260e-02,-0.721453
-4.99250e-02,-0.721075
-4.99240e-02,-0.721244
-4.99230e-02,-0.721216
-4.99220e-02,-0.721213
-4.99210e-02,-0.721447
-4.99200e-02,-0.721341
-4.99190e-02,-0.721338
-4.99180e-02,-0.721359
-4.99170e-02,-0.721569
-4.99160e-02,-0.721147
-4.99150e-02,-0.721425
-4.99140e-02,-0.7213
-4.99130e-02,-0.721069
-4.99120e-02,-0.721406
-4.99110e-02,-0.721497
-4.99100e-02,-0.721175
-4.99090e-02,-0.721184
-4.99080e-02,-0.721425
-4.99070e-02,-0.721219
-4.99060e-02,-0.721238
-4.99050e-02,-0.721322
-4.99040e-02,-0.721175
-4.99030e-02,-0.721194
-4.99020e-02,-0.721466
-4.99010e-02,-0.721425
-4.99000e-02,-0.721597
-4.98990e-02,-0.721284
-4.98980e-02,-0.721297
-4.98970e-02,-0.721034
-4.98960e-02,-0.721381
-4.98950e-02,-0.720959
-4.98940e-02,-0.720944
-4.98930e-02,-0.721347
-4.98920e-02,-0.721003
-4.98910e-02,-0.721506
-4.98900e-02,-0.721391
-4.98890e-02,-0.721244
-4.98880e-02,-0.721031
-4.98870e-02,-0.721003
-4.98860e-02,-0.72125
-4.98850e-02,-0.721263
-4.98840e-02,-0.721078
-4.98830e-02,-0.721506
-4.98820e-02,-0.721172
-4.98810e-02,-0.721497
-4.98800e-02,-0.721244
-4.98790e-02,-0.72105
-4.98780e-02,-0.721431
-4.98770e-02,-0.7212
-4.98760e-02,-0.721203
-4.98750e-02,-0.721116
-4.98740e-02,-0.721331
-4.98730e-02,-0.721059
-4.98720e-02,-0.721247
-4.98710e-02,-0.721331
-4.98700e-02,-0.721147
-4.98690e-02,-0.721325
-4.98680e-02,-0.7213
-4.98670e-02,-0.721169
-4.98660e-02,-0.721063
-4.98650e-02,-0.721259
-4.98640e-02,-0.721472
-4.98630e-02,-0.721119
-4.98620e-02,-0.721159
-4.98610e-02,-0.721547
-4.98600e-02,-0.721116
-4.98590e-02,-0.721384
-4.98580e-02,-0.721347
-4.98570e-02,-0.721294
-4.98560e-02,-0.721381
-4.98550e-02,-0.7212
-4.98540e-02,-0.721272
-4.98530e-02,-0.721203
-4.98520e-02,-0.721519
-4.98510e-02,-0.721397
-4.98500e-02,-0.721206
-4.98490e-02,-0.721131
-4.98480e-02,-0.721188
-4.98470e-02,-0.721147
-4.98460e-02,-0.720956
-4.98450e-02,-0.721475
-4.98440e-02,-0.720944
-4.98430e-02,-0.721444
-4.98420e-02,-0.721044
-4.98410e-02,-0.721344
-4.98400e-02,-0.721422
-4.98390e-02,-0.721281
-4.98380e-02,-0.72125
-4.98370e-02,-0.721022
-4.98360e-02,-0.721141
-4.98350e-02,-0.721334
-4.98340e-02,-0.721153
-4.98330e-02,-0.721084
-4.98320e-02,-0.721259
-4.98310e-02,-0.721166
-4.98300e-02,-0.721525
-4.98290e-02,-0.721072
-4.98280e-02,-0.721622
-4.98270e-02,-0.721334
-4.98260e-02,-0.721388
-4.98250e-02,-0.721416
-4.98240e-02,-0.721378
-4.98230e-02,-0.721356
-4.98220e-02,-0.721231
-4.98210e-02,-0.721219
-4.98200e-02,-0.721097
-4.98190e-02,-0.7211
-4.98180e-02,-0.721425
-4.98170e-02,-0.721381
-4.98160e-02,-0.721184
-4.98150e-02,-0.720994
-4.98140e-02,-0.720991
-4.98130e-02,-0.721428
-4.98120e-02,-0.72135
-4.98110e-02,-0.720978
-4.98100e-02,-0.720938
-4.98090e-02,-0.721388
-4.98080e-02,-0.720909
-4.98070e-02,-0.721466
-4.98060e-02,-0.721063
-4.98050e-02,-0.721131
-4.98040e-02,-0.721056
-4.98030e-02,-0.721463
-4.98020e-02,-0.7214
-4.98010e-02,-0.7214
-4.98000e-02,-0.721166
-4.97990e-02,-0.721272
-4.97980e-02,-0.721291
-4.97970e-02,-0.721247
-4.97960e-02,-0.721391
-4.97950e-02,-0.721119
-4.97940e-02,-0.721194
-4.97930e-02,-0.720884
-4.97920e-02,-0.721144
-4.97910e-02,-0.721038
-4.97900e-02,-0.721313
-4.97890e-02,-0.7215
-4.97880e-02,-0.721088
-4.97870e-02,-0.721159
-4.97860e-02,-0.721053
-4.97850e-02,-0.721153
-4.97840e-02,-0.721088
-4.97830e-02,-0.721119
-4.97820e-02,-0.721172
-4.97810e-02,-0.721163
-4.97800e-02,-0.721097
-4.97790e-02,-0.721013
-4.97780e-02,-0.721156
-4.97770e-02,-0.721316
-4.97760e-02,-0.721041
-4.97750e-02,-0.721044
-4.97740e-02,-0.720978
-4.97730e-02,-0.721356
-4.97720e-02,-0.721097
-4.97710e-02,-0.721213
-4.97700e-02,-0.721441
-4.97690e-02,-0.721134
-4.97680e-02,-0.721222
-4.97670e-02,-0.720769
-4.97660e-02,-0.721025
-4.97650e-02,-0.721144
-4.97640e-02,-0.721247
-4.97630e-02,-0.721003
-4.97620e-02,-0.721188
-4.97610e-02,-0.720803
-4.97600e-02,-0.721141
-4.97590e-02,-0.721322
-4.97580e-02,-0.721247
-4.97570e-02,-0.72115
-4.97560e-02,-0.720997
-4.97550e-02,-0.721419
-4.97540e-02,-0.721238
-4.97530e-02,-0.721253
-4.97520e-02,-0.721225
-4.97510e-02,-0.720894
-4.97500e-02,-0.721291
-4.97490e-02,-0.720806
-4.97480e-02,-0.721238
-4.97470e-02,-0.721166
-4.97460e-02,-0.721172
-4.97450e-02,-0.721338
-4.97440e-02,-0.721097
-4.97430e-02,-0.721081
-4.97420e-02,-0.720825
-4.97410e-02,-0.721269
-4.97400e-02,-0.721072
-4.97390e-02,-0.721106
-4.97380e-02,-0.72115
-4.97370e-02,-0.721
-4.97360e-02,-0.721153
-4.97350e-02,-0.721272
-4.97340e-02,-0.720869
-4.97330e-02,-0.721128
-4.97320e-02,-0.720972
-4.97310e-02,-0.7212
-4.97300e-02,-0.720972
-4.97290e-02,-0.721606
-4.97280e-02,-0.721319
-4.97270e-02,-0.721222
-4.97260e-02,-0.721319
-4.97250e-02,-0.721106
-4.97240e-02,-0.721566
-4.97230e-02,-0.721388
-4.97220e-02,-0.721419
-4.97210e-02,-0.721038
-4.97200e-02,-0.7213
-4.97190e-02,-0.721331
-4.97180e-02,-0.721359
-4.97170e-02,-0.720953
-4.97160e-02,-0.721203
